Pays,GDP,Internet connection speeds,Alcohol consumption,Intentional homicide rate,Military expenditures,Human Dev Index,Democracy Index,Tertiary education atteinment,Importance religion,Christianity%,Islam%,Buddhism%,Jewish%,Under-five mortality,Age criminal responsibility,Minimum wage,External debt,Income equality,Health Expenditure,Suicide Rate,Fertility rate,Tobacco Consumption,Obesity Rate,Internet User,Median Age,EcoFreedom,Oil Production,PopGrowthRate,Life Expectancy,Meat consumption,Incarceration rate,Literacy Rate,WAgeFirstMarriage,Spending Education,Homeless Population,Milk Consumption,Journal Articles,Books Publised,Food Energy,Yearly Temperature
Afghanistan,470.0,,0.2,6.7,,0.511,2.85,,97.0,0.02,99.7,0.05,,60.3,7.0,866.0,7.0,,,6.0,4.321,,5.5,10.9,19.5,51.5,,2.41,63.2,,87.0,20.3,18.0,4.1,,62.23,3.013,2795.0,,12.6
Albania,5303.0,45.25,7.5,2.3,,0.795,6.08,,50.0,17.0,58.8,0.05,,9.7,14.0,3277.0,66.0,33.2,,3.7,1.597,34.2,21.7,73.0,34.3,66.5,7901.0,0.13,78.0,38.2,164.0,86.9,24.0,4.0,,303.72,62.441,390.0,2890.0,11.4
Algeria,3976.0,,0.9,1.4,,0.748,3.77,,95.0,0.01,99.7,0.05,,23.3,13.0,201.0,2.0,27.6,,2.6,2.988,22.4,27.4,62.4,28.9,46.2,33205.0,1.67,77.1,18.4,153.0,19.5,27.8,4.3,,141.53,123.874,3955.0,3090.0,22.5
Angola,2671.0,,6.4,4.8,,0.581,3.66,,88.0,75.0,0.3,0.05,,74.7,14.0,764.0,41.0,51.3,,12.6,5.442,,8.2,13.9,15.9,50.6,61417.0,3.28,63.1,25.0,93.0,27.0,21.4,3.5,,12.3,0.974,22.0,1960.0,21.55
Argentina,10041.0,51.51,9.8,5.3,,0.845,6.95,,65.0,77.0,0.9,0.05,1.1,9.3,16.0,864.0,72.0,41.4,,8.1,2.247,46.2,28.3,75.7,32.4,52.2,11644.0,0.94,76.6,79.7,230.0,97.9,33.2,5.5,,195.08,198.62,28010.0,3030.0,14.8
Armenia,4623.0,,5.5,1.7,,0.776,5.35,,79.0,97.9,0.1,0.05,0.00063,11.8,14.0,1698.0,102.0,34.4,,2.7,1.758,34.3,20.2,69.2,36.6,67.7,,0.15,76.0,27.7,74.0,98.9,26.3,2.3,,209.03,176.506,396.0,2260.0,7.15
Australia,54763.0,77.88,10.6,0.9,2.1,0.944,8.96,48.0,32.0,52.1,2.6,2.7,0.78,3.6,10.0,28734.0,130.0,34.4,4965.0,11.3,1.657,27.6,29.0,85.0,37.5,80.9,1404.0,1.3,83.0,108.2,160.0,,30.5,5.3,49.1,234.49,2153.172,28234.0,3220.0,21.65
Austria,49701.0,117.31,11.6,1.0,,0.922,8.16,39.0,55.0,60.0,8.0,0.2,0.063,3.5,14.0,,165.0,29.7,5538.0,10.4,1.46,48.1,20.1,86.4,44.5,72.0,1742.0,0.24,81.6,94.1,95.0,,30.3,5.5,25.4,258.09,1390.334,8056.0,3750.0,6.35
Azerbaijan,4782.0,,0.8,2.2,,0.756,2.68,,39.0,3.1,96.9,0.05,0.048,20.4,14.0,1765.0,22.0,26.6,,4.0,1.8,28.1,19.9,78.0,32.6,65.4,8571.0,0.98,71.4,15.9,208.0,98.4,23.7,2.5,725.0,152.07,76.486,542.0,3020.0,11.95
Bahamas,34864.0,55.99,4.4,32.0,,0.814,,,,95.0,0.1,0.05,0.0019,12.6,,1092.0,194.0,,,3.4,1.743,11.8,31.6,87.1,32.8,62.9,,1.01,73.2,123.6,442.0,,27.9,2.8,,104.76,51.862,,2710.0,24.85
Bahrain,23504.0,58.53,1.9,0.5,,0.852,2.49,,94.0,15.0,73.7,2.5,,6.9,,,66.0,,,7.2,1.964,28.1,29.8,91.2,32.9,66.4,36.0,4.26,75.8,70.7,234.0,42.3,26.3,2.3,,,205.168,40.0,,27.15
Bangladesh,1846.0,36.02,0.0,2.4,,0.632,5.99,,100.0,0.4,90.4,0.5,,30.8,9.0,214.0,12.0,32.4,,3.9,2.011,51.5,3.6,77.7,27.9,55.6,25.0,1.04,74.3,3.1,48.0,39.4,25.0,2.0,307.0,21.91,19.427,,2270.0,25.0
Barbados,18149.0,105.71,9.6,9.8,,0.814,,,,74.0,1.5,0.05,,12.7,,65.0,100.0,,,0.3,1.623,10.5,23.1,81.5,39.5,64.7,3521.0,0.24,76.0,88.7,296.0,98.5,31.8,4.7,,110.48,132.57,,3020.0,26.0
Belarus,6674.0,68.73,11.2,2.4,,0.823,2.59,,34.0,55.4,0.75,0.05,0.057,3.2,14.0,0.0,66.0,25.2,,16.5,1.382,37.3,24.5,74.6,40.9,57.9,2637.0,-0.15,74.8,58.6,345.0,98.6,25.3,4.8,,133.73,124.833,8205.0,3150.0,6.15
Belgium,46198.0,107.12,12.1,1.7,,0.931,7.51,43.0,33.0,65.0,7.6,0.2,0.18,3.4,12.0,21845.0,269.0,27.4,5103.0,13.9,1.57,29.9,22.1,87.3,41.6,67.3,,0.58,81.4,86.1,95.0,,30.0,6.5,,236.19,1366.291,13913.0,3690.0,9.55
Belize,4884.0,49.44,6.7,37.8,,0.716,,,62.0,76.7,0.2,0.5,,12.3,,3861.0,75.0,53.3,,7.7,2.274,,24.1,46.0,23.9,55.4,5464.0,2.05,74.4,74.7,307.0,44.8,28.6,7.4,,80.3,23.494,,2710.0,25.3
Benin,122.0,,3.0,1.1,,0.545,4.58,,93.0,42.8,27.7,0.05,,90.3,,819.0,26.0,47.8,,12.7,4.767,17.1,9.6,13.7,17.0,55.3,,2.73,63.4,16.2,70.0,7.0,18.7,4.0,,8.4,19.852,84.0,2510.0,27.55
Bhutan,3361.0,,0.6,1.2,,0.654,5.71,,,1.0,0.2,74.7,,28.5,10.0,639.0,108.0,37.4,,5.1,1.954,,6.4,51.5,29.1,62.9,,1.18,73.1,3.0,145.0,14.9,22.8,6.6,0.0,,70.256,,,7.4
Bolivia,3552.0,,4.8,6.2,,0.718,5.08,,89.0,89.0,0.05,0.05,0.0032,26.0,14.0,4071.0,33.0,42.2,,6.8,2.688,,20.2,42.7,25.3,42.3,5334.0,1.47,72.1,50.0,164.0,67.5,24.1,7.3,,46.04,9.072,1578.0,2100.0,21.55
Bosnia and Herzegovina,6109.0,44.85,6.4,1.2,,0.78,4.84,,77.0,45.94,50.7,,0.0032,5.9,14.0,2789.0,23.0,33.0,,8.3,1.254,46.3,17.9,69.8,43.3,61.9,,-0.22,76.8,21.4,83.0,86.0,27.1,,20.0,174.03,211.798,,3080.0,9.85
Botswana,7961.0,,8.4,15.2,,0.735,7.62,,77.0,71.6,0.4,0.05,0.00063,41.6,,1993.0,8.0,53.3,,20.2,2.836,32.1,18.9,42.1,25.7,69.5,,1.79,62.2,27.3,208.0,40.7,26.4,7.8,,117.74,124.663,158.0,2230.0,21.5
Brazil,8755.0,90.3,7.8,27.4,1.4,0.765,6.92,16.0,87.0,90.0,0.36,0.1,0.59,11.0,12.0,3625.0,38.0,53.9,,6.4,1.648,32.8,22.1,76.4,33.2,51.9,12113.0,0.75,75.9,82.4,357.0,74.3,30.0,6.2,10.0,149.28,287.145,46829.0,3120.0,24.95
Bulgaria,9703.0,78.84,12.7,1.3,,0.816,6.71,,34.0,85.0,13.4,0.05,0.013,6.7,14.0,4596.0,63.0,40.4,,6.5,1.58,49.6,25.0,63.7,43.7,69.0,140.0,-0.67,75.1,69.4,109.0,97.5,26.9,4.1,,155.71,469.538,10068.0,2760.0,10.55
Burkina Faso,787.0,,8.2,1.3,,0.452,3.73,,88.0,22.0,63.2,0.05,,87.5,,710.0,26.0,35.3,,14.4,5.109,29.9,5.6,15.4,17.9,59.4,,2.87,62.7,11.2,37.0,8.4,17.9,4.2,335.0,29.79,12.759,12.0,2690.0,28.29
Burundi,260.0,,7.5,6.1,,0.433,2.14,,98.0,75.0,10.0,,,56.5,15.0,,26.0,38.6,,12.1,5.321,20.6,5.4,5.4,17.7,48.9,,3.15,63.8,3.5,96.0,24.9,20.3,4.8,,4.6,1.995,,1680.0,19.8
Cambodia,1644.0,,6.7,1.8,,0.594,3.1,,96.0,1.0,2.0,97.9,,26.6,14.0,,57.0,,,5.5,2.478,44.4,3.9,33.5,26.4,57.8,,1.49,70.1,13.9,220.0,53.1,21.0,1.9,,3.47,8.985,,2180.0,26.8
Cameroon,1534.0,,8.9,1.4,,0.563,2.77,,96.0,70.7,30.0,0.05,,74.8,,743.0,24.0,46.6,,15.9,4.506,10.2,11.4,22.1,18.5,52.4,3983.0,2.56,62.4,14.4,124.0,26.1,19.0,3.1,389.0,15.27,34.739,,2240.0,24.6
Canada,4655.0,167.61,8.9,1.8,1.4,0.929,9.24,59.0,42.0,55.0,3.2,0.8,2.5,4.9,12.0,21477.0,143.0,33.8,5287.0,10.3,1.468,37.9,29.4,91.6,41.8,77.7,100931.0,0.9,82.2,108.1,104.0,,29.6,5.5,10.0,187.77,1617.497,14625.0,3530.0,-5.35
Cape Verde,3604.0,,5.7,6.8,,0.665,7.65,,,89.1,2.0,,,14.9,16.0,1584.0,99.0,47.2,,15.2,2.242,,11.8,57.4,26.8,63.1,,1.25,74.0,26.3,296.0,36.8,21.5,5.2,,115.64,16.551,,2530.0,23.3
Central African Republic,468.0,,3.3,20.1,,0.397,1.32,,94.0,80.0,15.0,,,110.1,,777.0,39.0,56.2,,23.0,4.645,,7.5,4.3,20.0,49.1,,,53.1,28.0,16.0,35.7,17.4,1.2,1421.0,13.53,4.286,,1960.0,24.9
Chad,707.0,,1.5,,,0.398,1.55,,95.0,35.0,58.0,0.05,,113.8,,1229.0,18.0,43.3,,13.2,5.649,15.4,6.1,6.3,16.1,49.9,7393.0,1.58,59.6,14.3,59.0,7.0,16.0,2.9,209.0,20.63,0.969,,2010.0,26.55
Chile,14896.0,176.48,9.3,4.4,,0.851,8.28,27.0,70.0,68.0,0.05,0.05,0.12,7.0,14.0,5753.0,82.0,44.4,2126.0,8.0,1.627,53.4,28.0,79.4,35.5,75.4,247.0,,80.7,66.4,210.0,89.9,32.6,5.4,7.4,116.11,380.263,5641.0,2960.0,8.45
China,10004.0,172.95,7.2,0.5,1.7,0.761,2.27,35.8,,3.0,1.73,18.2,0.019,7.9,12.0,1945.0,29.0,38.5,,6.7,1.696,29.2,6.2,70.8,38.4,58.4,2836.0,0.78,77.4,52.4,121.0,73.9,24.9,4.0,18.0,32.66,370.023,208418.0,2990.0,6.95
Colombia,6432.0,53.73,5.8,25.3,,0.767,7.04,27.0,83.0,92.0,0.2,0.05,0.013,13.8,14.0,4427.0,57.0,50.4,1201.0,3.7,1.789,16.8,22.3,61.5,31.2,67.3,18452.0,0.81,79.3,33.9,194.0,81.4,22.3,4.5,971.0,108.47,144.882,17066.0,2690.0,24.5
Comoros,137.0,,0.9,,,0.554,3.09,,97.0,2.1,98.3,,,62.9,,1502.0,21.0,45.3,,8.5,4.138,43.7,7.8,8.3,20.9,55.4,,2.24,67.4,7.6,27.0,12.8,20.4,2.5,,11.15,3.604,,1840.0,25.55
Congo,2304.0,,7.8,,,0.574,3.11,,95.0,90.7,2.0,0.05,,47.8,,1843.0,55.0,48.9,,11.6,4.374,11.2,9.6,8.7,19.5,39.7,60168.0,2.59,64.7,13.3,27.0,73.1,21.0,4.6,,10.69,12.776,,2570.0,24.55
Costa Rica,12238.0,47.93,4.8,11.3,,0.81,8.16,28.0,79.0,82.0,0.05,0.05,0.016,8.6,12.0,6496.0,43.0,48.0,,7.6,1.737,18.2,25.7,70.2,32.6,65.3,,0.96,80.8,40.4,374.0,90.4,25.7,7.4,6.6,183.28,101.411,2158.0,2820.0,24.8
Croatia,14627.0,57.3,8.9,0.6,,0.851,6.5,,70.0,90.1,1.5,0.05,0.011,4.8,14.0,6795.0,89.0,30.4,,11.0,1.47,34.9,24.4,67.6,43.9,61.4,3223.0,-0.58,78.6,49.9,84.0,97.1,28.1,4.6,7.0,231.02,1029.014,,2990.0,10.9
Cuba,9296.0,,6.1,5.0,,0.783,2.84,,34.0,65.0,0.1,0.05,0.0032,5.1,16.0,105.0,34.0,,,10.2,1.602,47.5,24.6,49.7,42.1,27.8,4357.0,0.06,77.8,32.2,510.0,99.2,21.3,12.9,0.0,99.94,85.464,992.0,3420.0,25.2
Cyprus,28285.0,50.46,10.8,1.3,,0.887,7.56,,75.0,79.0,25.3,0.2,0.00063,2.3,14.0,,849.0,31.4,,3.2,1.321,42.5,21.8,80.1,37.9,68.1,,0.78,83.1,131.3,86.0,93.8,29.0,6.4,,113.31,1063.989,930.0,3190.0,18.45
Czech Republic,23452.0,85.89,14.4,0.6,,0.9,7.67,31.0,21.0,34.0,0.15,0.05,0.025,3.2,15.0,7918.0,76.0,24.9,3171.0,9.5,1.71,34.8,26.0,78.4,43.3,73.7,220.0,0.06,79.1,77.3,179.0,,29.8,5.6,22.0,195.2,1460.479,17330.0,3280.0,7.55
