Pays,GDP,Internet connection speeds,Alcohol consumption,Intentional homicide rate,Military expenditures,Human Dev Index,Democracy Index,Tertiary education atteinment,Importance religion,Christianity%,Islam%,Buddhism%,Jewish%,Under-five mortality,Age criminal responsibility,Minimum wage,External debt,Income equality,Health Expenditure,Suicide Rate,Fertility rate,Tobacco Consumption,Obesity Rate,Internet User,Median Age,EcoFreedom,Oil Production,PopGrowthRate,Life Expectancy,Meat consumption,Incarceration rate,Literacy Rate,WAgeFirstMarriage,Spending Education,Homeless Population,Milk Consumption,Journal Articles,Books Publised,Food Energy,Yearly Temperature
Afghanistan,470.0,50.488817545708,0.2,6.7,2.81367368326145,0.511,2.85,40.999999999532804,97.0,0.02,99.7,0.05,0.013000000340127826,60.3,7.0,866.0,7.0,36.40000000018199,4057.304143985755,6.0,4.321,30.299999999908124,5.5,10.9,19.5,51.5,3194.0000000446453,2.41,63.2,34.94999999996652,87.0,20.3,18.0,4.1,35.29999999981743,62.23,3.013,2795.0,2750.000000001985,12.6
Albania,5303.0,45.25,7.5,2.3,4.986126800650764,0.795,6.08,40.9999999996644,50.0,17.0,58.8,0.05,0.01300000019818981,9.7,14.0,3277.0,66.0,33.2,2795.9811153194496,3.7,1.597,34.2,21.7,73.0,34.3,66.5,7901.0,0.13,78.0,38.2,164.0,86.9,24.0,4.0,35.29999999994419,303.72,62.441,390.0,2890.0,11.4
Algeria,3976.0,14.21268887702854,0.9,1.4,4.462339228183169,0.748,3.77,40.99999999986494,95.0,0.01,99.7,0.05,0.012999999977978405,23.3,13.0,201.0,2.0,27.6,2826.9891767552863,2.6,2.988,22.4,27.4,62.4,28.9,46.2,33205.0,1.67,77.1,18.4,153.0,19.5,27.8,4.3,35.29999999988621,141.53,123.874,3955.0,3090.0,22.5
Angola,2671.0,21.304292604501995,6.4,4.8,3.5072128874380546,0.581,3.66,40.99999999982316,88.0,75.0,0.3,0.05,0.012999999567625764,74.7,14.0,764.0,41.0,51.3,-129.58071782416164,12.6,5.442,30.300000000140898,8.2,13.9,15.9,50.6,61417.0,3.28,63.1,25.0,93.0,27.0,21.4,3.5,35.299999999993474,12.3,0.974,22.0,1960.0,21.55
Argentina,10041.0,51.51,9.8,5.3,2.7876361999777526,0.845,6.95,40.99999999971686,65.0,77.0,0.9,0.05,1.1,9.3,16.0,864.0,72.0,41.4,2669.186853434695,8.1,2.247,46.2,28.3,75.7,32.4,52.2,11644.0,0.94,76.6,79.7,230.0,97.9,33.2,5.5,35.29999999998006,195.08,198.62,28010.0,3030.0,14.8
Armenia,4623.0,56.111863342895106,5.5,1.7,2.589362667972172,0.776,5.35,40.99999999967628,79.0,97.9,0.1,0.05,0.00063,11.8,14.0,1698.0,102.0,34.4,2914.5919369946855,2.7,1.758,34.3,20.2,69.2,36.6,67.7,3193.999999961874,0.15,76.0,27.7,74.0,98.9,26.3,2.3,35.29999999999052,209.03,176.506,396.0,2260.0,7.15
Australia,54763.0,77.88,10.6,0.9,2.1,0.944,8.96,48.0,32.0,52.1,2.6,2.7,0.78,3.6,10.0,28734.0,130.0,34.4,4965.0,11.3,1.657,27.6,29.0,85.0,37.5,80.9,1404.0,1.3,83.0,108.2,160.0,64.599999999917,30.5,5.3,49.1,234.49,2153.172,28234.0,3220.0,21.65
Austria,49701.0,117.31,11.6,1.0,3.685645613558818,0.922,8.16,39.0,55.0,60.0,8.0,0.2,0.063,3.5,14.0,1895.000000019747,165.0,29.7,5538.0,10.4,1.46,48.1,20.1,86.4,44.5,72.0,1742.0,0.24,81.6,94.1,95.0,64.60000000000407,30.3,5.5,25.4,258.09,1390.334,8056.0,3750.0,6.35
Azerbaijan,4782.0,18.772795428666768,0.8,2.2,10.491529271295907,0.756,2.68,40.99999999975779,39.0,3.1,96.9,0.05,0.048,20.4,14.0,1765.0,22.0,26.6,866.7103888058723,4.0,1.8,28.1,19.9,78.0,32.6,65.4,8571.0,0.98,71.4,15.9,208.0,98.4,23.7,2.5,725.0,152.07,76.486,542.0,3020.0,11.95
Bahamas,34864.0,55.99,4.4,32.0,2.237275014169528,0.814,5.755000001016015,40.99999999963126,84.00000000049022,95.0,0.1,0.05,0.0019,12.6,13.00000000221462,1092.0,194.0,36.399999999907095,4608.483929249031,3.4,1.743,11.8,31.6,87.1,32.8,62.9,3193.999999995576,1.01,73.2,123.6,442.0,64.60000000002356,27.9,2.8,35.29999999988638,104.76,51.862,2854.0000000325963,2710.0,24.85
